,word,v1,v2,v3,bookname
0,用途,-0.331847220659256,1.102726086974144,0.5439142882823944,历史的用途与滥用
1,痛恨,0.375315397977829,0.5003046989440918,-0.26740550994873047,历史的用途与滥用
2,事物,-0.2172921597957611,-0.4505652189254761,-0.07660448551177979,历史的用途与滥用
3,前沿,0.4515579342842102,0.888131856918335,0.3657183051109314,历史的用途与滥用
4,花园,0.9485938400030136,0.8499252051115036,-0.009633153676986694,历史的用途与滥用
5,生活,0.8324006199836731,0.7296028733253479,-0.8906210213899612,历史的用途与滥用
6,时代,0.7633574306964874,1.1164578795433044,-0.4489690810441971,历史的用途与滥用
7,运动,0.1612485945224762,0.2970173954963684,-0.21060660481452942,历史的用途与滥用
8,冒险,-0.03789171576499939,-0.21558895707130432,-0.4470612108707428,历史的用途与滥用
9,机会,-0.7701804488897324,0.5847534537315369,-0.24942979216575623,历史的用途与滥用
10,称赞,0.6710963696241379,0.3534330427646637,2.6277804374694824,历史的用途与滥用
11,好处,-0.8663677424192429,-0.5363355576992035,-0.2841614931821823,历史的用途与滥用
12,批评,-0.1868554949760437,0.2078777551651001,0.8440215885639191,历史的用途与滥用
13,观点,0.5580438673496246,0.4951024055480957,-0.6668873131275177,历史的用途与滥用
14,思想,-0.20525172352790833,-0.12290284037590027,-0.06312042474746704,历史的用途与滥用
15,引以为荣,0.18204480409622192,0.1300877332687378,0.30747368931770325,历史的用途与滥用
16,东西,-0.15399739146232605,-0.19070357084274292,-1.1020657420158386,历史的用途与滥用
17,文化,-0.08908480405807495,0.6603798270225525,0.08400306105613708,历史的用途与滥用
18,描绘,0.5047962069511414,0.2207210659980774,0.6999081373214722,历史的用途与滥用
19,狂热,-0.2649657428264618,1.1250106990337372,2.065778970718384,历史的用途与滥用
20,认识到,-0.077696293592453,-0.37333980202674866,0.3957231342792511,历史的用途与滥用
21,事实,0.8363695442676544,-0.061899423599243164,0.16820475459098816,历史的用途与滥用
22,发展,0.3185482323169708,0.0991588830947876,0.3301545977592468,历史的用途与滥用
23,毁灭,1.241452395915985,-1.3436387479305267,-0.5491089820861816,历史的用途与滥用
24,来源,-0.767395868897438,1.1136991530656815,-0.15883132815361023,历史的用途与滥用
25,未来,0.09469673037528992,-0.3679169714450836,-0.4150346666574478,历史的用途与滥用
26,夜晚,0.6453666090965271,-0.6828463077545166,-0.7768239080905914,历史的用途与滥用
27,薄雾,-0.13381719589233398,0.3657596558332443,-1.0259616374969482,历史的用途与滥用
28,消失,-0.5201104283332825,-0.7606078684329987,-1.8818318843841553,历史的用途与滥用
29,活着,1.184113472700119,-0.587347149848938,-0.3303337097167969,历史的用途与滥用
30,同伴,-0.6098013371229172,0.10712087154388428,-0.411774218082428,历史的用途与滥用
31,谈话,0.23942455649375916,0.12290216982364655,0.6302991509437561,历史的用途与滥用
32,天堂,0.9061948955059052,0.4756969213485718,0.5942478775978088,历史的用途与滥用
33,玩耍,-0.6492513418197632,0.26200786232948303,0.05682989954948425,历史的用途与滥用
34,召唤,0.4343263804912567,0.5103817582130432,0.269855260848999,历史的用途与滥用
35,咒语,0.6162508577108383,0.4522203654050827,-1.4819641411304474,历史的用途与滥用
36,人类,0.8594389259815216,-0.8207237720489502,-1.2234696745872498,历史的用途与滥用
37,生存,0.15969067811965942,-0.8888766169548035,-0.41878797113895416,历史的用途与滥用
38,生命,0.5703186988830566,-0.6657806038856506,0.37715405225753784,历史的用途与滥用
39,生命力,-0.49423351883888245,0.11577725410461426,0.7687628269195557,历史的用途与滥用
40,哲学,0.7212726771831512,-0.5848777294158936,-0.008083879947662354,历史的用途与滥用
41,演变,0.49162760376930237,0.4307757318019867,-0.26459887623786926,历史的用途与滥用
42,视野,0.28059259057044983,1.2465254217386246,-0.7924526929855347,历史的用途与滥用
43,阿尔卑斯,0.23014619946479797,1.5082915127277374,-0.1778148114681244,历史的用途与滥用
44,感到高兴,0.559428483247757,-0.13210594654083252,0.8342261612415314,历史的用途与滥用
45,正义,0.03639325499534607,-0.22193074226379395,1.4792649447917938,历史的用途与滥用
46,空气,-0.33556997776031494,0.25456905364990234,-0.8883702754974365,历史的用途与滥用
47,创造,0.15492036938667297,-0.051243752241134644,-0.23302510380744934,历史的用途与滥用
48,古为今用,0.33347606658935547,-0.5133610218763351,-0.08806228637695312,历史的用途与滥用
49,光亮,0.598980039358139,-0.7376554608345032,-1.1401775479316711,历史的用途与滥用
50,迷雾,0.4536023736000061,0.2716459333896637,-1.747565120458603,历史的用途与滥用
51,想象,-0.38719236850738525,0.18264472484588623,-0.1277230679988861,历史的用途与滥用
52,呼吸,0.6487531214952469,-0.281137079000473,-0.7013314962387085,历史的用途与滥用
53,超历史,-0.014788806438446045,-0.5461403727531433,-0.546269491314888,历史的用途与滥用
54,源泉,0.7068636268377304,-0.2031514048576355,0.6958986818790436,历史的用途与滥用
55,纪念,-0.45931659638881683,0.26205770671367645,0.6599073112010956,历史的用途与滥用
